PROD_NAME,TOT_SALES
Burger Rings 220g,6830.999999999999
CCs Nacho Cheese    175g,5961.900000000001
CCs Original 175g,6048.0
CCs Tasty Cheese    175g,6069.0
Cheetos Chs & Bacon Balls 190g,9243.3
Cheetos Puffs 165g,7641.2
Cheezels Cheese 330g,34296.9
Cheezels Cheese Box 125g,5733.0
Cobs Popd Sea Salt  Chips 110g,23852.6
Cobs Popd Sour Crm  &Chives Chips 110g,22944.399999999998
Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,23772.8
Dorito Corn Chp     Supreme 380g,39052.0
Doritos Cheese      Supreme 330g,33390.6
Doritos Corn Chip Mexican Jalapeno 150g,23887.5
Doritos Corn Chip Southern Chicken 150g,23735.399999999998
Doritos Corn Chips  Cheese Supreme 170g,27183.2
Doritos Corn Chips  Nacho Cheese 170g,26562.800000000003
Doritos Corn Chips  Original 170g,26228.4
Doritos Mexicana    170g,26290.000000000004
Doritos Salsa       Medium 300g,7111.0
Doritos Salsa Mild  300g,7150.0
French Fries Potato Chips 175g,7929.0
Grain Waves         Sweet Chilli 210g,21700.8
Grain Waves Sour    Cream&Chives 210G,21348.0
GrnWves Plus Btroot & Chilli Jam 180g,8568.4
Infuzions BBQ Rib   Prawn Crackers 110g,23111.6
Infuzions Mango     Chutny Papadums 70g,6852.0
Infuzions SourCream&Herbs Veg Strws 110g,22701.2
Infuzions Thai SweetChili PotatoMix 110g,23582.8
Infzns Crn Crnchers Tangy Gcamole 110g,22800.0
Kettle 135g Swt Pot Sea Salt,26090.4
Kettle Chilli 175g,31271.4
Kettle Honey Soy    Chicken 175g,32578.2
Kettle Mozzarella   Basil & Pesto 175g,34457.4
Kettle Original 175g,32740.2
Kettle Sea Salt     And Vinegar 175g,32589.000000000004
Kettle Sensations   BBQ&Maple 150g,27185.999999999996
Kettle Sensations   Camembert & Fig 150g,28308.399999999998
Kettle Sensations   Siracha Lime 150g,27567.8
Kettle Sweet Chilli And Sour Cream 175g,33031.8
Kettle Tortilla ChpsBtroot&Ricotta 150g,27770.199999999997
Kettle Tortilla ChpsFeta&Garlic 150g,27627.6
Kettle Tortilla ChpsHny&Jlpno Chili 150g,29021.399999999998
NCC Sour Cream &    Garden Chives 175g,8046.0
Natural Chip        Compny SeaSalt175g,8331.0
Natural Chip Co     Tmato Hrb&Spce 175g,8934.0
Natural ChipCo      Hony Soy Chckn175g,8274.0
Natural ChipCo Sea  Salt & Vinegr 175g,8733.0
Old El Paso Salsa   Dip Chnky Tom Ht300g,30513.3
Old El Paso Salsa   Dip Tomato Med 300g,30237.899999999998
Old El Paso Salsa   Dip Tomato Mild 300g,30033.899999999998
Pringles Barbeque   134g,22614.4
Pringles Chicken    Salt Crips 134g,22063.100000000002
Pringles Mystery    Flavour 134g,21937.3
Pringles Original   Crisps 134g,22355.4
Pringles Slt Vingar 134g,21963.2
Pringles SourCream  Onion 134g,22410.9
Pringles Sthrn FriedChicken 134g,21833.7
Pringles Sweet&Spcy BBQ 134g,22477.5
RRD Chilli&         Coconut 150g,7654.500000000001
RRD Honey Soy       Chicken 165g,8649.0
RRD Lime & Pepper   165g,8379.0
RRD Pc Sea Salt     165g,8106.0
